,n,media,desvio_std,min,p25,mediana,p75,max
Producción de trigo en toneladas,46,13065066.413043479,3795979.295083252,7780000.0,9498386.25,12800000.0,15888287.5,22150000.0
Producción de soja en toneladas,46,28547686.13043478,19049900.030974813,3500000.0,10897722.5,28432000.0,47162250.0,61400000.0
